City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
461,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
465,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
474,Thinadhoo,MV,82.26,broken clouds,0.5333,72.9333,
475,General Roca,AR,79.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
481,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
483,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
490,Dao,PH,77.95,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
500,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Poutur Pousada
506,Victor Harbor,AU,87.46,clear sky,-35.5667,138.6167,McCracken Country Club
508,Porto Belo,BR,78.75,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
511,Kismayo,SO,77.58,overcast clouds,-0.3582,42.5454,Agan-Hotel
514,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
516,Caravelas,BR,77.52,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
517,Hobyo,SO,76.1,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
519,Mount Gambier,AU,82.31,clear sky,-37.8333,140.7667,The Commodore
521,Nelson Bay,AU,75.96,broken clouds,-32.7167,152.15,Mantra Nelson Bay
522,Soyo,AO,76.82,broken clouds,-6.1349,12.3689,Hotel Mpampa
527,Galle,LK,77.31,broken clouds,6.0367,80.217,Amangalla
533,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
534,La Palma,US,81.57,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
535,Singaraja,ID,81.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
536,Mildura,AU,82.08,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
540,Guanare,VE,84.22,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
548,Kudahuvadhoo,MV,81.12,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
549,Ewa Beach,US,84.15,few clouds,21.3156,-158.0072,Uncle Junior Robert
551,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
557,Lahad Datu,MY,75.6,overcast clouds,5.0268,118.327,The 27th House
560,Luwuk,ID,81.37,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
564,Barao De Melgaco,BR,79.32,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
567,Bien Unido,PH,82.42,overcast clouds,10.1373,124.3776,Amor & Pepe Auxilio
572,Yenagoa,NG,76.95,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
575,Swan Hill,AU,77.56,clear sky,-35.3378,143.5544,Lazy River Motor Inn
576,Tiarei,PF,86.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
582,Ternate,ID,80.87,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
586,Mainit,PH,77.94,overcast clouds,9.535,125.5231,Kasili Lakeside Resort and Hotel
588,Gambissara,SN,79.21,clear sky,13.2382,-14.3108,
590,Minna,NG,78.75,clear sky,9.6139,6.5569,Royal Park hotel & suites
591,Tual,ID,82.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
594,Bambanglipuro,ID,77.4,overcast clouds,-7.95,110.2833,Puri Brata
596,Puerto Escondido,MX,81.43,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
597,Rio Branco,BR,79.41,scattered clouds,-9.9747,-67.81,Inácio Palace Hotel
600,Mayor Pablo Lagerenza,PY,84.51,broken clouds,-19.9309,-60.7718,
605,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
609,Manokwari,ID,82.36,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
