City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
250,Kyabe,TD,9.4515,18.9449,74.21,18,7,5.86,clear sky
251,Thurso,GB,58.5927,-3.5259,37.65,65,46,22.3,scattered clouds
252,Dunkwa,GH,5.9656,-1.78,75.36,85,47,1.9,scattered clouds
253,Namatanai,PG,-3.6667,152.4333,85.14,65,41,5.66,scattered clouds
254,Sao Filipe,CV,14.8961,-24.4956,72.81,76,1,5.17,clear sky
255,Rudnyy,KZ,52.9594,63.1206,5.23,93,90,3.36,overcast clouds
256,Nioro,GM,13.35,-15.75,76.14,32,0,5.14,clear sky
257,Kununurra,AU,-15.7667,128.7333,78.78,94,40,6.91,scattered clouds
258,Lompoc,US,34.6391,-120.4579,76.57,60,0,9.22,clear sky
259,Poum,NC,-20.2333,164.0167,81.93,83,92,19.39,overcast clouds
260,La Rioja,ES,42.25,-2.5,37.04,66,52,4.81,broken clouds
261,Wajir,KE,1.7471,40.0573,77.56,65,100,16.73,overcast clouds
262,Petrokamenskoye,RU,57.716,60.6484,-5.06,100,100,2.57,overcast clouds
263,Groningen,NL,53.25,6.75,40.03,86,74,4.0,broken clouds
264,Ilo,PE,-17.6394,-71.3375,69.24,81,100,3.91,overcast clouds
265,Ilulissat,GL,69.2167,-51.1,1.42,71,20,10.36,few clouds
266,Emerald,AU,-23.5333,148.1667,79.34,46,0,13.67,clear sky
267,Upernavik,GL,72.7868,-56.1549,-15.84,99,100,9.73,overcast clouds
268,Kitob,UZ,39.0843,66.8332,34.38,94,100,2.21,overcast clouds
269,Vestmanna,FO,62.1564,-7.1664,32.92,60,20,21.85,few clouds
270,Kodiak,US,57.79,-152.4072,36.91,44,100,11.5,overcast clouds
271,Merauke,ID,-8.4667,140.3333,83.48,76,100,5.88,overcast clouds
272,Pacifica,US,37.6138,-122.4869,70.61,57,0,8.05,clear sky
273,Narsaq,GL,60.9167,-46.05,8.82,85,100,0.6,overcast clouds
